title,authors,subject,publish_year,description,rating
The quest of the cubs,Kathryn Lasky,baby books,2018,"It is a time of trouble in the Northern Kingdoms because a group of power-hungry polar bears called Roguers has been snatching cubs from their mothers and killing those who resist; but Svenna is not about to relinquish her two cubs to that fate, so she agrees to go with the Roguers and serve Mystress of the Hands if her cubs, who have special powers, are allowed to stay with her cousin--but nobody is truly safe when a way of life is collapsing around them.",3.5
Baby Lions at the Zoo,Eustacia Moldovo,baby books,2014,,
1-2-3 zooborns!,Andrew Bleiman,baby books,2015,"""Attention, animal lovers! It's time to count along with a whole new crew of adorable zoo babies. Featuring irresistible animal photos, bouncy text, and a fact-filled glossary, this just might be the cutest counting book ever to hit the shelves!""--",
Pandas at Risk,Clare Hibbert,baby books,2014,,
Chimp Rescue,Clare Hibbert,baby books,2014,,
Orangutan Orphans,Clare Hibbert,baby books,2014,"Orang-utan Orphans follows the ups and downs of the lives of these special animals as they are cared for at specialist rescue centres in Borneo and Sumatra in southeast Asia and focuses on both individual animals and the incredible people who look after them. Packed with emotional stories, but these books are also supported by environmental and educational content. Each book touches on issues such as conservation, habitat destruction, poaching, how each animal lives in the wild and how they are cared for in captivity.",
Playful Little Penguins,"Tony Mitton, Guy Parker-Rees",baby books,2007,"While enjoying a full day of their favorite activities, a group of young penguins helps a baby seal that has been separated from her mother.",3.0
A very curious bear,"Tony Mitton, Mandy Sutcliffe, Paul Howard",baby books,2008,A very curious bear asks his parent questions about everything they see and do all day long.,4.0
Meet a Baby Zebra,Lisa Owings,baby books,2015,,
Meet a Baby Hippo,Lisa Owings,baby books,2015,,
Over on a desert,Marianne Berkes,baby books,2018,"A counting book in rhyme that presents various animals and their offspring that dwell in desert environments around the world, from a mother camel and ""her little calf one"" to a father fennec fox and ""his little kits ten.""",
There's a dragon in your book,Tom Fletcher,baby books,2018,"First, there s an egg in your book. Then the cutest baby dragon you ve ever seen hatches from it. But don t tickle its nose, and whatever you do, don t let it sneeze! ACHOO! OH MY!",4.0
You're safe with me,Chitra Soundar,baby books,2018,"The baby animals of the Indian forest can't sleep. SWISH-SWISH! CRACK-TRACK! FLASH-SNAP! goes the storm. Only Mama Elephant's words of wisdom can reassure them, ""You're safe with me.""",
The mouse,Angela Royston,baby books,1978,"Discusses the behavior, habitat, and natural enemies of mice.",
Baby animals,Jim Pipe,baby books,2006,"""Young children will love reading these colourful books on their own, with a parent or teacher.""",
Pinky and Rex and the just-right pet,"James Howe, Melissa Sweet",baby books,2001,"Seven-year-old Pinky, a confirmed dog lover, has a change of heart after his family's new pet kitten pounces on his foot in the middle of the night.",
A kitten's year,Nancy Raines Day,baby books,2000,"A kitten peeks at January, toys with February, stalks March, and eventually sniffs November and dreams December as it grows into a cat through the course of a year.",
Annie and Snowball and the cozy nest,Cynthia Rylant,baby books,2009,"Annie and her bunny watch and wait as a nest is built above the porch swing, and eventually they get to see the mother bird feeding her babies.",
Little white rabbit,Kevin Henkes,baby books,2011,"As he hops along a little rabbit wonders what it would be like to be green as grass, tall as fir trees, hard as rocks, and flutter like butterflies.",
"Flip, flap, fly!",Phyllis Root,baby books,2009,"A baby bird, fish, snake, otter, duck, mouse, and child merrily meet at a pond after being helped by their mamas all morning.",
How Do You Make a Baby Smile?,Philemon Sturges,baby books,2007,,
The secret puppy,Holly Webb,baby books,2013,"""On vacation at a farm campsite, Daisy meets the farm dog's puppies. She falls in love with one and secretly names him Baxter. But when it's time to go home, how will Daisy ever say good-bye?""--",3.0
The great divide,"Suzanne Slade, Erin E. Hunter",baby books,2012,,
Foals,Grace Elora,baby books,2011,,
"Hey, duck!",Carin Bramsen,baby books,2013,A plucky duckling attempts to befriend a cat that just wants to be left alone.,
Daisy and the trouble with kittens,Kes Gray,baby books,2009,,5.0
Baby animal names,Bobbie Kalman,baby books,2010,,
Baby animals 2,"Ann Elwood, John Bonnett Wexo",baby books,1991,"Describes the development and behavior of a variety of baby animals, including birds, reptiles, and mammals.",
If You Were Born A Kitten,Marion Dane Bauer,baby books,1997,Simply describes how various baby animals come into the world and what happens when a human baby is born.,
Lola Levine,Monica Brown,baby books,2016,"""Lola Levine is given a non-speaking part after getting stage fright during her class play audition. She saves the play after a couple of obstacles with the help of her grandmother""--",
Lola Levine and the ballet scheme,Monica Brown,baby books,2016,"""A new girl has joined Lola Levine's second-grade class. When they get off on the wrong foot, they are forced to spend time together...and learn they have more in common than they thought""--",
Diego and Mami to the Rescue,Alexis Romay,baby books,2008,,
A loon alone,Pamela Love,baby books,2002,"Separated from his mother by a snapping turtle, a loon chick hides among the lake cattails, barely escaping encounters with moose, otter, and other inhabitants of the Maine woods. Also includes facts about loons.",
Hoppity skip Little Chick,"Brown, Jo",baby books,2005,"When Little Chick wakes up eager to play, his mother sends him to the barnyard where he runs with the geese, bounces with a lamb, jumps with the pony, and rolls in the dirt with a piglet, then returns home to a surprise.",
Boatyard Ducklings,Heather Austin,baby books,2008,,
Dinosaur trouble,Dick King-Smith,baby books,2005,"Nosy and Banty are friends, so it's a pity that their families are so rude about each other. But when the terrible Tyrannosaurus rex arrives, the dinosaur families join forces to help one another out of trouble. Suggested level: junior, primary.",
The Berenstain Bears' New Kitten,Mike Berenstain,baby books,2007,,4.5
Wild baby animals,Karen Wallace,baby books,2000,"Describes some of the differences in the ways various baby animals--including monkeys, rhinos, wolves, seals, and elephants-- behave and grow.",
Mama,Jeanette Winter,baby books,2006,,
Babies,Moira Kemp,baby books,1991,A toddler is introduced to animal babies.,5.0
Keeker and the Pony Camp Catastrophe,Hadley Higginson,baby books,2007,"Ten-year-old Keeker is excited about going to sleep-over pony camp, until she finds that one of her bunk mates is her rival Tifni.",
Off we go!,Jane Yolen,baby books,1999,"One by one, baby woodland creatures leave home and sing their way to visit grandma.",
Where's my baby?,"H. A. Rey, Hans Augusto Rey",baby books,1900,Mother animals' babies are shown when the reader lifts a flap that reveals the rest of the illustration.,
Cat Burgler Caper,Carolyn Keene,baby books,2010,"In Cat Burglar Caper, someone is stealing kittens from the local pet store! Fortunately for the cats, Nancy and her friends are on the case….",
Happy Birthday to Whooo?,Doris Fisher,baby books,2006,,
Joey,Hope Ryden,baby books,1994,"Follows a baby kangaroo, or joey, as it grows inside its mother's pouch and learns about the other animals living on Australia's Kangaroo Island.",
Seal Pup grows up,Kathleen Weidner Zoehfeld,baby books,1994,Describes how Seal Pup's mother prepares him for life on his own.,
Berta,Celia Barker Lottridge,baby books,2002,,
Mara the Meerkat Fairy,Daisy Meadows,baby books,2013,"Mara the Meerkat Fairy is in terrible trouble. Jack Frost has stolen her magical keyring, which helps her protect all meerkats. Mara goes to find Rachel Walker and Kirsty Tate at the Wild Woods Nature Reserve, where they're spending a week as junior rangers. She desperately needs their help.

Can the girls help their fairy friend outwit the Ice Lord, find the magic keyring and save the baby meerkat captured by the goblins? 


----------
**Books in this series**

 1. [Mae the Panda Fairy][1]
 2. [Kitty the Tiger Fairy][2]
 3. Mara the Meerkat Fairy
 4. [Savannah the Zebra Fairy][4]
 5. [Kimberley the Koala Fairy][5]
 6. [Rosie the Honey Bear Fairy][6]
 7. [Anna the Arctic Fox Fairy][7]

  [1]: https://openlibrary.org/works/OL20006077W
  [2]: https://openlibrary.org/works/OL17312337W
  [4]: https://openlibrary.org/works/OL17313268W
  [5]: https://openlibrary.org/works/OL17419718W
  [6]: https://openlibrary.org/works/OL20006082W
  [7]: https://openlibrary.org/works/OL17399958W",
Down by the station,Will Hillenbrand,baby books,1999,"In this version of a familiar song, baby animals ride to the children's zoo on the zoo train. Printed music on last page.",
Jubela,Cristina Kessler,baby books,2001,"When a baby rhino loses his mother, he must rely on his own resources to survive until he is adopted by an old female rhino.",
"Come along, Daisy!",Jane Simmons,baby books,1998,Daisy the duckling becomes so engrossed in playing with dragonflies and lily pads that she temporarily loses her mother.,4.0
Lift-the-Flap,DK Publishing,baby books,2005,Lift the flaps to reveal hidden surprises while learning the concept of transportation.,
Land of the Wild Llama,Audrey Fraggalosch,baby books,2002,,
Puppy trouble,"Marcia Thornton Jones, Debbie Dadey",baby books,2001,,
Toko the Hippo (Meet Africas Animals),Ben Nussbaum,baby books,2006,,
Penguin chick,Betty Tatham,baby books,2001,Traces the first part of the life cycle of an Emperor penguin chick.,
In the Nest,"Anna Milbourne, Laurence Cleyet-Merle",baby books,2005,,
Polar bear cubs,Downs Matthews,baby books,1989,"Describes the life of a pair of polar bear cubs as they play, explore, and learn to hunt with their mother.",
Baby animals,John Bonnett Wexo,baby books,1990,Text and pictures present many species of baby animals.,
Puppies,JoAnn Early Macken,baby books,2003,,
Rose's farm,"Covent Garden Books, DK Publishing, Deni Bown",baby books,1997,Four easy-to-read board books introduce things found in a farmyard.,5.0
When an animal grows,Millicent E. Selsam,baby books,1966,"Follows the growth of a duck, bird, gorilla, and lamb from helpless, weak new-born creatures to the age of independence.",
"Bright Baby Touch, Feel and Listen","Roger Priddy, Priddy Books",baby books,2006,,
Gator Aid,Jane Cutler,baby books,1999,"Imaginative second-grader Edward swears he saw a baby alligator in the Shaw Park lake, but no one believes him.",
The infancy of animals,W. P. Pycraft,baby books,1912,,
Pouch!,David Ezra Stein,baby books,2009,"A baby kangaroo takes his first tentative hops outside of his mama's pouch, meeting other creatures and growing bolder each time.",
Tracks of a Panda,Nick Dowson,baby books,2007,"High on a mist-wrapped mountain, a mother panda cradles her newborn, pink and impossibly small. The bamboo patch they need for food is dying, and as soon as her baby is old enough, they must seek a new home, sleeping in trees and swimming across icy streams along the way.",4.0
Biscuit's Show and Share Day,Alyssa Satin Capucilli,baby books,2007,,
Honey Paw and Lightfoot,Jonathan London,baby books,1994,"After giving birth in her winter den, Honey Paw, a brown bear, cares for her cub and teaches him to survive in the wild.",
