title,authors,subject,publish_year,description,rating
Stripe,Joanne Partis,baby books,1999,"Stripe, a little tiger cub, strolls into the jungle on his own and finds more adventure than he hoped for when he's chased by stinging bees and snapping crocodiles and ends up inside the mouth of a whale.",
Animal numbers,Bert Kitchen,baby books,1987,A counting book in which animals both exotic and familiar are shown with the specified number of infants.,
The Puppy Diaries,Jill Abramson,baby books,2011,,
Twilight magic,Linda Chapman,baby books,2006,,
Ontogeny of Learning and Memory (PLE: Memory),"Norman E. Spear, Byron A. Campbell",baby books,2014,,
Baby farm animals,Garth Williams,baby books,1953,"Text and pictures introduce puppies, kids, chicks, piglets, and other baby animals to be found on a farm.",
Little farmer Joe,"Ian Whybrow, Christian Birmingham",baby books,2001,"During the first night he has ever spent away from home, Joe helps his uncle with a sheep and her new baby lamb, and finds that comforting the animals helps lessen his own fear.",
Say Hello to the Baby Animals!,"Ian Whybrow, Edward Eaves, Ed Eaves",baby books,2006,,
The runaway puppy,Lydia Barriman,baby books,2011,"When Amy's puppy runs away, the kung fu students make a bar chart showing places the dog is most familiar with and how often she has visited them in order to determine the probability of where she might be.",
Lady Lupin's book of etiquette,Babette Cole,baby books,2001,Lady Lupin undertakes the education of her puppies in the art of manners.,5.0
You are my baby,Lorena Siminovich,baby books,2013,"Turn the pages of the little book nestled inside the bigger one to match the baby animals to their parents, and learn some early concepts along the way.",
A cookie for Santa,Stephanie Shaw,baby books,2014,,
Mother Bruce,"Ryan T. Higgins, Ryan T. Higgins",baby books,2015,"Bruce is a grumpy bear who likes no one and nothing but cooked eggs, but when some eggs he was planning to boil hatch and the goslings believe he is their mother, he must try to make the best of the situation.",4.5
"Go to Sleep, Monty!",Kim Geyer,baby books,2015,,
Spot goes to the farm,Eric Hill,baby books,1987,"Spot searches for new babies among the farm animals, each of which greets him with its own distinctive noise. Movable flaps conceal portions of the illustrations.",
Lola Levine Is Not Mean!,Monica Brown,baby books,2015,,
Lola Levine meets Jelly and Bean,"Monica Brown, Angela Dominguez",baby books,2017,"""Lola Levine finally gets a kitten, but when the family learns that Ben is allergic, they will have to find a new home for the pet""--",1.0
Lola Levine and the Vacation Dream,"Monica Brown, Angela Dominguez",baby books,2017,,
Studies on freshwater Entomostraca in Greenland,Ulrik Røen,baby books,1958,,
Where do I sleep?,Jennifer Blomgren,baby books,2001,Rhyming text describes some of the young animals--from a gray wolf pup and a horned puffin to a cougar kit and a small brown bat--as they settle down to sleep.,
Oliver Finds His Way,Phyllis Root,baby books,2002,"Oliver the bear becomes lost when he chases a leaf to the edge of the woods, but then he comes up with an idea to find his way back home.",3.0
A Lion Grows Up (Wild Animals),"Anastasia Suen, Michael Denman, William Huiett",baby books,2005,"Wild Animals - Stunning artwork and simple text will captivate readers as they learn about the life cycles of wild animals. Follow the path of each animal from birth to becoming an adult, including how they feed, where they live, and how they survive.",
A Hippopotamus Grows Up (Wild Animals),"Anastasia Suen, Michael Denman, William Huiett",baby books,2005,"Wild Animals - Stunning artwork and simple text will captivate readers as they learn about the life cycles of wild animals. Follow the path of each animal from birth to becoming an adult, including how they feed, where they live, and how they survive.",
A Rhinoceros Grows Up (Wild Animals),"Anastasia Suen, Michael Denman, William Huiett",baby books,2005,"Wild Animals - Stunning artwork and simple text will captivate readers as they learn about the life cycles of wild animals. Follow the path of each animal from birth to becoming an adult, including how they feed, where they live, and how they survive.",
Johnny Lion's bad day,Edith Thacher Hurd,baby books,1970,Johnny Lion has a bad cold and the medicine he takes and the dreams he has are both terrible.,
The intentionality model and language acquisition,Lois Bloom,baby books,2001,,
The colonial furniture of New England,Irving Whitall Lyon,baby books,1891,,
Kittens,"Niki Walker, Bobbie Kalman, Rebecca Sjonger",baby books,2004,"Discusses the selection, care and handling, and safety of having kittens as pets.",
Who's Hatching?,Charles Reasoner,baby books,1994,Readers slide open the pages to discover the surprise baby hiding inside each egg.,
Baby Grip,Roger Priddy,baby books,2001,,
Puppy Mudge Wants to Play,Cynthia Rylant,baby books,2005,"In the fifth book of the spirited Puppy Mudge series, Henry is just curling up with a good book when Mudge decides it's playtime--and he won't take no for an answer.",
I'll Teach My Dog 100 Words,Michael K. Frith,baby books,1973,,4.5
Where is my baby?,"Harriet Ziefert, Simms Taback",baby books,1994,"Mother hen, mother pig, and five other animal mothers find their babies and reveal their names such as chick, piglet, kitten, on the flaps throughout this book.",
Love is a handful of honey,Giles Andreae,baby books,1999,"A little bear spends a day eating, splashing in puddles, and listening to a bedtime story in this rhyming look at some of the different things love can mean.",
Dora's eggs,Julie Sykes,baby books,1997,"As she goes around seeing the babies of the other farmyard animals, Dora becomes less and less proud of her first eggs--until they hatch into cute chicks.",
Cats and Kittens,J. Lou Barnes,baby books,2001,,
Chicks and Chickens,J. Lou Barnes,baby books,2001,,
What's Hatching Out of That Egg?,Patricia Lauber,baby books,1979,"Text and illustrations introduce a variety of eggs and the animals that hatch out of them. Includes ostrich, python, bullfrog, and monarch butterfly eggs among others.",
Guess What Is Growing Inside This Egg,Mia Posada,baby books,2006,,
Alligators,Alice Twine,baby books,2008,,
Rocky and the Lamb,Greg Gormley,baby books,2006,"Rocky the Wolf is the meanest creature on the mountain. So when an innocent little lamb tries to walk past him carrying a special crown for the King, he just can't resist trying to snatch it. But this little lamb's got a few surprises of her own in store. Suggested level: junior.",4.0
Where's the puppy?,"Cheryl Christian, Maria A. Fiol",baby books,2004,,
Little Ducks Go,Emily Arnold McCully,baby books,2014,,
Teach Me to Love,Denise Brennan-Nelson,baby books,2014,,
Meet a baby rabbit,Jennifer Boothroyd,baby books,2016,,
Creature colors,Andrew Zuckerman,baby books,2014,,
Creature baby animals,Andrew Zuckerman,baby books,2014,,
Max at night,Ed Vere,baby books,2015,,4.0
Progress in Infancy Research,"Harlene Hayne, April Benasich",baby books,2002,,
The frog,Angela Royston,baby books,1976,,
Mittens at School,Lola M. Schaefer,baby books,2012,,5.0
